item_id,condition,topic,features,original,keywords_keep_please,model,sample_idx,expansion,n_clauses,n_unentailed,unentailed_clauses,code,notes,coder,coded_at
aut-007,autistic_style,need_food,literal;direct,I am hungry. I want a sandwich.,hungry want sandwich,llama3.1:8b,2,I'm hungry and I want a sandwich.,2,1,I'm hungry and,,,,
aut-013,autistic_style,deadline_fact,info_dense,The report is due Friday at noon.,report due friday noon,llama3.1:8b,2,My report is due on Friday at noon.,1,1,My report is due on Friday at noon.,,,,
aut-022,autistic_style,sensory_preference,literal,I don't like loud noises.,like loud noises,llama3.1:8b,0,I don't like loud noises.,1,0,,,,,
aut-024,autistic_style,travel_disruption,info_dense,"The flight is delayed two hours, new departure 6pm.",flight delayed two hours,llama3.1:8b,2,Our flight has been delayed by two hours.,1,0,,,,,
aut-041,autistic_style,comprehension_gap,literal,I don't understand the instructions.,understand instructions,llama3.1:8b,1,I understand the instructions.,1,1,I understand the instructions.,,,,
aut-015,autistic_style,feedback_negative,low_hedging,Your explanation was confusing.,explanation confusing,qwen2.5:7b-instruct,1,This explanation is confusing.,1,0,,,,,
aut-019,autistic_style,need_comfort,literal,I am cold. Give me a blanket.,cold give blanket,qwen2.5:7b-instruct,2,I'll give you a blanket because you have a cold.,1,1,I'll give you a blanket because you have a cold.,,,,
aut-022,autistic_style,sensory_preference,literal,I don't like loud noises.,like loud noises,qwen2.5:7b-instruct,0,I like loud noises.,1,1,I like loud noises.,,,,
aut-029,autistic_style,time_pressure,info_dense;direct,"The store closes at 9, we have one hour.",store closes 9 have,qwen2.5:7b-instruct,1,The store closes at 9.,1,0,,,,,
aut-042,autistic_style,coordination,direct,Wait here. I'll be back in five minutes.,wait five minutes,qwen2.5:7b-instruct,0,Please wait for five minutes.,1,0,,,,,
ctl-001,control_style,request_environment,,"Could you close the door? It's loud, if you don't mind.",close door loud mind,llama3.1:8b,0,"I need you to close the door, it's loud and I don't want to hurt my mind.",2,1,and I don't want to hurt my mind.,,,,
ctl-006,control_style,request_environment,,"Could you stop talking? I need quiet to focus, sorry.",stop talking need quiet,llama3.1:8b,1,"Please stop talking, I need quiet.",1,0,,,,,
ctl-013,control_style,deadline_fact,,I think the report is due Friday at noon.,think report due friday,llama3.1:8b,0,"I need to think about my report, which is due on Friday.",1,1,"I need to think about my report, which is due on Friday.",,,,
ctl-032,control_style,directions,,"You'd take exit 12, then merge onto Route 9 north I think.",take exit 12 merge,llama3.1:8b,0,Take the exit 12 and merge.,2,0,,,,,
ctl-041,control_style,comprehension_gap,,"I don't quite understand the instructions, sorry.",understand instructions sorry,llama3.1:8b,2,"I can understand the instructions, so I'm sorry.",1,1,"I can understand the instructions, so I'm sorry.",,,,
ctl-010,control_style,request_help,,"I could maybe use some help with this now, if you're free.",use help free,qwen2.5:7b-instruct,1,I need to use your help for free.,1,1,I need to use your help for free.,,,,
ctl-023,control_style,conversation_repair,,"I don't think you answered my question, sorry.",think answered question sorry,qwen2.5:7b-instruct,2,"I think I answered the question, but I'm sorry if it was incorrect.",2,2,"I think I answered the question, but || I'm sorry if it was incorrect.",,,,
ctl-026,control_style,cooking_feedback,,This recipe maybe needs a little more salt.,recipe needs little more,qwen2.5:7b-instruct,1,The recipe needs a little more seasoning.,1,0,,,,,
ctl-040,control_style,financial_fact,,"I think the invoice is $450, due in 30 days.",think invoice 450 due,qwen2.5:7b-instruct,0,I think the invoice for 450 is due.,1,0,,,,,
