row_key,original,keywords_keep_please,expansion,code,notes
s01,"You'd take exit 12, then merge onto Route 9 north I think.",take exit 12 merge,Take the exit 12 and merge.,,
s02,"I could maybe use some help with this now, if you're free.",use help free,I need to use your help for free.,,
s03,Your explanation was confusing.,explanation confusing,This explanation is confusing.,,
s04,I am cold. Give me a blanket.,cold give blanket,I'll give you a blanket because you have a cold.,,
s05,I think the report is due Friday at noon.,think report due friday,"I need to think about my report, which is due on Friday.",,
s06,"Could you stop talking? I need quiet to focus, sorry.",stop talking need quiet,"Please stop talking, I need quiet.",,
s07,"The flight is delayed two hours, new departure 6pm.",flight delayed two hours,Our flight has been delayed by two hours.,,
s08,I don't understand the instructions.,understand instructions,I understand the instructions.,,
s09,"I think the invoice is $450, due in 30 days.",think invoice 450 due,I think the invoice for 450 is due.,,
s10,I don't like loud noises.,like loud noises,I like loud noises.,,
s11,Wait here. I'll be back in five minutes.,wait five minutes,Please wait for five minutes.,,
s12,I don't like loud noises.,like loud noises,I don't like loud noises.,,
s13,"The store closes at 9, we have one hour.",store closes 9 have,The store closes at 9.,,
s14,The report is due Friday at noon.,report due friday noon,My report is due on Friday at noon.,,
s15,"I don't quite understand the instructions, sorry.",understand instructions sorry,"I can understand the instructions, so I'm sorry.",,
s16,"Could you close the door? It's loud, if you don't mind.",close door loud mind,"I need you to close the door, it's loud and I don't want to hurt my mind.",,
s17,I am hungry. I want a sandwich.,hungry want sandwich,I'm hungry and I want a sandwich.,,
s18,This recipe maybe needs a little more salt.,recipe needs little more,The recipe needs a little more seasoning.,,
s19,"I don't think you answered my question, sorry.",think answered question sorry,"I think I answered the question, but I'm sorry if it was incorrect.",,
