row_key,original,keywords_keep_please,expansion,code,notes
r001,My hands are shaking.,hands shaking,Hands are shaking.,faithful,
r002,"The store closes at 9, we have one hour.",store closes 9 have,The store closes at 9.,faithful,omission: 'one hour' clause (cut at cap)
r003,I think the password has to be 8 characters with a number.,think password has 8,My password has 8 characters.,tone_shift,"hedge 'I think' in keywords, dropped by model (model locus); deontic 'has to be' flattened to description; 'with a number' lost at cap"
r004,"I'd maybe like water rather than juice, if that's okay.",like water juice okay,"I like water, but I'm okay with juice.",reversal,'rather than juice' inverted to acceptance of juice; 'okay' keyword confabulated into acceptance; hedges lost (subsumed)
r005,The soup is too hot to eat right now.,soup hot eat,I want to eat hot soup.,reversal,'too hot to eat' (warning against eating) became desire to eat hot soup — intent inverted
r006,The light is maybe a bit too bright.,light bit bright,I need a light bit bright day.,reversal,keyword salad reassembled into unrelated desire ('a light bit bright day'); original complaint does not survive; borderline EXCLUDE-degenerate — flagged
r007,I don't like loud noises.,like loud noises,I like loud noises.,reversal,negation cut at compression; model chose positive polarity — states the opposite preference
r008,"I'm not sure I want that plan, sorry.",sure want plan sorry,"I'm sorry, I'd like to plan.",reversal,soft refusal ('not sure I want') became willingness ('I'd like to plan'); noun 'plan' re-parsed as verb; 'sure' hedge lost (subsumed)
r009,"The store closes at 9, we have one hour.",store closes 9 have,The store closes at 9.,faithful,omission: 'one hour' clause (cut at cap)
r010,"The flight is delayed two hours, new departure 6pm.",flight delayed two hours,My flight has been delayed by two hours.,faithful,'my' = scaffolding; omission: departure 6pm (cut at cap)
r011,"I think the printer is broken, maybe use the other one.",think printer broken use,I think the printer is broken.,faithful,"omission: 'use the other one' suggestion (keyword 'use' present, unused by model); hedge 'I think' preserved"
r012,The report is due Friday at noon.,report due friday noon,My report is due on Friday at noon.,faithful,'my' = scaffolding
r013,"I want water, not juice.",want water juice,I want some water and juice.,reversal,negation lost at compression; 'not juice' became 'and juice' — exclusion inverted
r014,"I feel a bit overwhelmed right now, sorry.",feel bit overwhelmed sorry,"I feel a bit overwhelmed, sorry.",faithful,"hedges ('a bit', 'sorry') preserved"
r015,I am tired. I need to sleep.,tired need sleep,I am tired and need to sleep.,faithful,
r016,Wait here. I'll be back in five minutes.,wait five minutes,Please wait for five minutes.,tone_shift,'please' added to direct imperative (not in keywords — model-added mitigation); return-time became wait-duration (minor); 'here' lost
r017,"I might need a ride at 6pm, if that works.",need ride 6 pm,I need a ride at 6 pm.,tone_shift,"mitigation ('might', 'if that works') cut by compressor, not restored — compressor locus"
r018,"Could you cancel the appointment for tomorrow, please?",cancel appointment tomorrow please,"I need to cancel our appointment tomorrow, please.",tone_shift,"request-to-addressee became speaker's own intent (force change); 'our' adds a party (unlicensed, subsumed); 'please' retained"
r019,The password has to be 8 characters with a number.,password has 8 characters,The password has 8 characters.,faithful,"deontic 'has to be' lost at compression ('to be' function-stripped) — requirement flattened to description, recorded as omission-class; 'with a number' lost at cap"
r020,I am cold. Give me a blanket.,cold give blanket,Can you give me a blanket because I am cold?,tone_shift,direct imperative softened to 'Can you' request — model-added mitigation; causal link licensed by both keywords
r021,I don't really think I want to go to the party.,think want go party,I think I want to go to the party.,reversal,negation cut at compression; refusal became desire
r022,Class starts Monday at 9am in building C.,class starts monday 9,My class starts on Monday at 9.,faithful,"'my' = scaffolding; omissions: 9am (partial), building C (cap)"
r023,"I think class starts Monday at 9am, building C.",think class starts monday,I think the class starts on Monday.,faithful,"hedge 'I think' preserved; omissions: 9am, building C (cap)"
r024,"Take exit 12, then merge onto Route 9 north.",take exit 12 merge,Take exit 12 and merge carefully.,unlicensed,'carefully' adds unlicensed manner instruction; Route 9 north lost at cap
r025,I disagree with your decision.,disagree decision,I disagree with the decision.,faithful,'your'->'the' drops attribution (function-stripped upstream); force intact
r026,This chair is uncomfortable.,chair uncomfortable,The chair is uncomfortable.,faithful,
r027,I am cold. Give me a blanket.,cold give blanket,I'll give you a blanket because you have a cold.,reversal,speaker/addressee inverted (request became offer); 'cold' re-sensed as illness attributed to addressee; unlicensed cause (subsumed)
r028,"I think the invoice is $450, due in 30 days.",think invoice 450 due,I think the invoice for 450 is due.,faithful,"hedge preserved; omissions: '$', '30 days' (cap)"
r029,"I think I need the bathroom now, sorry.",think need bathroom sorry,"I think I need to go to the bathroom, sorry.",faithful,"hedges ('I think', 'sorry') preserved"
r030,"I think the store closes at 9, so we have one hour.",think store closes 9,The store closes at 9.,tone_shift,"hedge 'I think' survived into keywords, dropped by model — model locus; hedged estimate became flat assertion; 'one hour' lost at cap"
r031,"I think the meeting starts at 3pm, room 204.",think meeting starts 3,I think the meeting starts at 3.,faithful,"hedge preserved; omissions: pm, room 204 (cap)"
r032,You did not answer my question.,answer question,I'll answer the question.,reversal,negation lost; addressee's failure became speaker's promise — roles and force inverted
r033,"Your explanation was a little confusing, maybe just me.",explanation little confusing,The explanation is a little confusing.,tone_shift,"'maybe just me' self-attribution cut by compressor, not restored (partial mitigation loss; 'a little' preserved); 'your'->'the' depersonalization"
r034,I am hungry. I want a sandwich.,hungry want sandwich,I want a sandwich.,faithful,"omission: 'I am hungry' (keyword present, unused by model)"
r035,I am hungry. I want a sandwich.,hungry want sandwich,I'm hungry and I want a sandwich.,faithful,
r036,You did not answer my question.,answer question,I will answer the question.,reversal,negation lost; addressee's failure became speaker's promise — roles and force inverted
r037,No. I don't want that plan.,want plan,I want to plan a trip.,reversal,refusal inverted to desire; 'plan' re-parsed as verb; 'a trip' invented (subsumed)
r038,Your explanation was confusing.,explanation confusing,I don't understand why it's so confusing.,unlicensed,"complaint survives only as presupposition ('why it's so confusing'); main assertion became speaker's puzzlement, negation added; borderline reversal under strict 'survives as assertion' wording — flag for v1.2"
r039,"I don't quite understand the instructions, sorry.",understand instructions sorry,"I can understand the instructions, so I'm sorry.",reversal,'don't quite understand' inverted to 'can understand'; 'sorry' keyword re-purposed with invented causal link
r040,"I'm not sure I want that plan, sorry.",sure want plan sorry,"Sure, I want to plan a surprise for you, but I'm sorry if I got your name wrong.",reversal,soft refusal inverted to agreement; 'sure' (uncertainty) re-sensed as affirmation; surprise/name content invented (subsumed)
r041,"That joke wasn't really that funny, maybe just me.",joke funny,That one's a joke and it's funny!,reversal,negation cut at compression; criticism became praise; exclamatory boost (subsumed)
r042,My stomach hurts.,stomach hurts,I have a stomach that hurts.,faithful,
r043,The bus leaves at 8:15 and takes 40 minutes.,bus leaves 8:15 takes,The bus leaves at 8:15 and takes me to work.,unlicensed,dangling 'takes' completed with invented destination 'to work'; '40 minutes' lost at cap
r044,Your explanation was confusing.,explanation confusing,This explanation is confusing.,faithful,'your'->'this' drops attribution (function-stripped upstream); complaint force intact
r045,I don't want to go to the party.,want go party,I want to go to the party.,reversal,negation cut at compression; refusal became desire
r046,"I'd maybe like to go home now, if that's okay.",like go okay,I'll go okay.,tone_shift,"mitigation ('maybe', 'if that's okay') lost, not restored; destination 'home' lost at cap; 'okay' absorbed as adverb; borderline EXCLUDE-degenerate — flagged"
r047,"I think the invoice is $450, due in 30 days.",think invoice 450 due,The invoice is due for $450.,tone_shift,"hedge 'I think' in keywords, dropped by model — model locus; omissions: '$', '30 days' (cap)"
r048,The dose is 500mg twice daily with food.,dose 500 mg food,I took a dose of 500 mg of my food.,reversal,prescriptive dosing instruction became past-tense self-report; 'with food' garbled to 'of my food'; instruction does not survive
r049,"That joke wasn't really that funny, maybe just me.",joke funny,That joke was really funny.,reversal,negation cut at compression; criticism became praise
r050,"My hands are shaking a bit, I think.",hands shaking bit think,"My hands are shaking a bit, I think.",faithful,"exact recovery, hedges intact"
r051,I think the medication is two pills every eight hours.,think medication two pills,I need to take two pills.,unlicensed,hedge 'think' reified as need/intent; schedule 'every eight hours' lost at cap; dosing fact survives only inside invented intent — ctl-013 class per v1.1 rung-2/4 boundary
r052,I disagree with your decision.,disagree decision,I strongly disagree with that decision.,tone_shift,"booster 'strongly' escalates force (not in keywords, model-added) — intensification coded as mirror of mitigation; flag for v1.2 if boosters should be filler"
r053,I need a ride at 6pm.,need ride 6 pm,I need a ride at 6 pm.,faithful,
r054,"I'm not sure that plan works, the budget seems too small.",sure plan works budget,"Sure, the plan works within our budget.",reversal,'not sure' inverted to 'Sure'; budget inadequacy inverted to adequacy; 'our' adds party (subsumed)
r055,"I don't think you answered my question, sorry.",think answered question sorry,"I think I answered the question, but I'm sorry.",reversal,role flip (you answered -> I answered) plus polarity flip
r056,Stop talking. I need quiet to focus.,stop talking need quiet,"I need you to stop talking, please.",tone_shift,'please' added (not in keywords) — model-added mitigation; 'focus' lost at cap
r057,"I'd maybe like to leave now, if that's okay.",like leave okay,I like to leave when you're okay with it.,tone_shift,'maybe' lost; present request flattened to habitual 'I like to leave'; conditional softener near-recovered ('when you're okay with it'); borderline unlicensed
r058,"I'm a bit cold, could I maybe get a blanket?",bit cold get blanket,"I feel a bit cold, so I'm going to get a blanket.",tone_shift,permission request became declaration of self-action — force/agent change; 'could I maybe' mitigation gone; 'a bit' preserved
r059,"I don't think you answered my question, sorry.",think answered question sorry,"I think I answered the question, but I'm sorry if it was incorrect.",reversal,role flip plus polarity flip; speaker apologises for addressee's failure
