item_id,condition,model,sample_idx,expansion,code,notes,coder,coded_at
aut-007,autistic_style,llama3.1:8b,2,I'm hungry and I want a sandwich.,faithful,,claude-calibration,2026-09-07
aut-013,autistic_style,llama3.1:8b,2,My report is due on Friday at noon.,faithful,"determiner slot filled with 'my' — treated as grammatical scaffolding in first-person AAC context, not an ownership assertion; v1.1 should state a determiner rule explicitly",claude-calibration,2026-09-07
aut-022,autistic_style,llama3.1:8b,0,I don't like loud noises.,faithful,"model restored negation absent from keywords — exact match to original",claude-calibration,2026-09-07
aut-024,autistic_style,llama3.1:8b,2,Our flight has been delayed by two hours.,faithful,"omission: 'new departure 6pm' — traces to cap (never in keywords), not the model; recorded per omission rule",claude-calibration,2026-09-07
aut-041,autistic_style,llama3.1:8b,1,I understand the instructions.,reversal,"polarity inverted: negation stripped at compression, model chose positive; speaker asserts the comprehension they lack",claude-calibration,2026-09-07
aut-015,autistic_style,qwen2.5:7b-instruct,1,This explanation is confusing.,faithful,"'your'→'this' loses addressee attribution (mild face-threat softening) but 'your' was never in keywords; complaint force intact; borderline noted for v1.1",claude-calibration,2026-09-07
aut-019,autistic_style,qwen2.5:7b-instruct,2,I'll give you a blanket because you have a cold.,reversal,"speaker/addressee roles inverted (request→offer); 'cold' (temperature) confabulated as 'a cold' (illness) attributed to addressee; unlicensed cause added",claude-calibration,2026-09-07
aut-022,autistic_style,qwen2.5:7b-instruct,0,I like loud noises.,reversal,"polarity inverted: negation stripped at compression, model chose positive — states the opposite preference",claude-calibration,2026-09-07
aut-029,autistic_style,qwen2.5:7b-instruct,1,The store closes at 9.,faithful,"omission: 'one hour' clause — 'hour' cut by cap; dangling keyword 'have' correctly ignored",claude-calibration,2026-09-07
aut-042,autistic_style,qwen2.5:7b-instruct,0,Please wait for five minutes.,tone_shift,"'please' added to a direct imperative; also return-time ('back in five minutes') became wait-duration — minor, roughly keyword-licensed",claude-calibration,2026-09-07
ctl-001,control_style,llama3.1:8b,0,"I need you to close the door, it's loud and I don't want to hurt my mind.",tone_shift,"mitigation stripped: 'could you… if you don't mind'→'I need you to'; softener token 'mind' confabulated into 'hurt my mind' (unlicensed, subsumed under worst-wins)",claude-calibration,2026-09-07
ctl-006,control_style,llama3.1:8b,1,"Please stop talking, I need quiet.",tone_shift,"interrogative request→imperative; 'sorry' lost (cut by cap); net increase in force relative to original",claude-calibration,2026-09-07
ctl-013,control_style,llama3.1:8b,0,"I need to think about my report, which is due on Friday.",reversal,"hedge 'think' reified as a mental action and made the main assertion — attributes an intent the speaker did not have; due-Friday survives only as a relative clause; borderline vs unlicensed — flag for alpha discussion",claude-calibration,2026-09-07
ctl-032,control_style,llama3.1:8b,0,Take the exit 12 and merge.,tone_shift,"mitigation ('You'd… I think') absent from output; lost at cap not by the model, but displacement from original is what is coded per the symmetric rule; 'Route 9 north' also cut by cap — noted as omission",claude-calibration,2026-09-07
ctl-041,control_style,llama3.1:8b,2,"I can understand the instructions, so I'm sorry.",reversal,"polarity inverted ('don't quite understand'→'can understand'); 'sorry' keyword retained but re-purposed with invented causal link",claude-calibration,2026-09-07
ctl-010,control_style,qwen2.5:7b-instruct,1,I need to use your help for free.,tone_shift,"'free' (availability) confabulated as 'for free' (payment) — serious unlicensed addition subsumed under worst-wins; deferential request→entitled demand; borderline reversal — flag for alpha discussion",claude-calibration,2026-09-07
ctl-023,control_style,qwen2.5:7b-instruct,2,"I think I answered the question, but I'm sorry if it was incorrect.",reversal,"role flip (you answered→I answered) plus polarity flip (don't think→think); speaker now apologises for the addressee's failure",claude-calibration,2026-09-07
ctl-026,control_style,qwen2.5:7b-instruct,1,The recipe needs a little more seasoning.,tone_shift,"hedge 'maybe' lost at cap, statement flattened to unhedged assertion; 'seasoning' is a forced completion of dangling 'more' after 'salt' was cut — near-miss, noted as omission-adjacent",claude-calibration,2026-09-07
ctl-040,control_style,qwen2.5:7b-instruct,0,I think the invoice for 450 is due.,faithful,"hedge 'I think' preserved; omissions ('$', '30 days') trace to cap; 'for 450' awkward but licensed",claude-calibration,2026-09-07
