row_key,original,keywords_keep_please,expansion,code,notes
r001,My hands are shaking.,hands shaking,Hands are shaking.,,
r002,"The store closes at 9, we have one hour.",store closes 9 have,The store closes at 9.,,
r003,I think the password has to be 8 characters with a number.,think password has 8,My password has 8 characters.,,
r004,"I'd maybe like water rather than juice, if that's okay.",like water juice okay,"I like water, but I'm okay with juice.",,
r005,The soup is too hot to eat right now.,soup hot eat,I want to eat hot soup.,,
r006,The light is maybe a bit too bright.,light bit bright,I need a light bit bright day.,,
r007,I don't like loud noises.,like loud noises,I like loud noises.,,
r008,"I'm not sure I want that plan, sorry.",sure want plan sorry,"I'm sorry, I'd like to plan.",,
r009,"The store closes at 9, we have one hour.",store closes 9 have,The store closes at 9.,,
r010,"The flight is delayed two hours, new departure 6pm.",flight delayed two hours,My flight has been delayed by two hours.,,
r011,"I think the printer is broken, maybe use the other one.",think printer broken use,I think the printer is broken.,,
r012,The report is due Friday at noon.,report due friday noon,My report is due on Friday at noon.,,
r013,"I want water, not juice.",want water juice,I want some water and juice.,,
r014,"I feel a bit overwhelmed right now, sorry.",feel bit overwhelmed sorry,"I feel a bit overwhelmed, sorry.",,
r015,I am tired. I need to sleep.,tired need sleep,I am tired and need to sleep.,,
r016,Wait here. I'll be back in five minutes.,wait five minutes,Please wait for five minutes.,,
r017,"I might need a ride at 6pm, if that works.",need ride 6 pm,I need a ride at 6 pm.,,
r018,"Could you cancel the appointment for tomorrow, please?",cancel appointment tomorrow please,"I need to cancel our appointment tomorrow, please.",,
r019,The password has to be 8 characters with a number.,password has 8 characters,The password has 8 characters.,,
r020,I am cold. Give me a blanket.,cold give blanket,Can you give me a blanket because I am cold?,,
r021,I don't really think I want to go to the party.,think want go party,I think I want to go to the party.,,
r022,Class starts Monday at 9am in building C.,class starts monday 9,My class starts on Monday at 9.,,
r023,"I think class starts Monday at 9am, building C.",think class starts monday,I think the class starts on Monday.,,
r024,"Take exit 12, then merge onto Route 9 north.",take exit 12 merge,Take exit 12 and merge carefully.,,
r025,I disagree with your decision.,disagree decision,I disagree with the decision.,,
r026,This chair is uncomfortable.,chair uncomfortable,The chair is uncomfortable.,,
r027,I am cold. Give me a blanket.,cold give blanket,I'll give you a blanket because you have a cold.,,
r028,"I think the invoice is $450, due in 30 days.",think invoice 450 due,I think the invoice for 450 is due.,,
r029,"I think I need the bathroom now, sorry.",think need bathroom sorry,"I think I need to go to the bathroom, sorry.",,
r030,"I think the store closes at 9, so we have one hour.",think store closes 9,The store closes at 9.,,
r031,"I think the meeting starts at 3pm, room 204.",think meeting starts 3,I think the meeting starts at 3.,,
r032,You did not answer my question.,answer question,I'll answer the question.,,
r033,"Your explanation was a little confusing, maybe just me.",explanation little confusing,The explanation is a little confusing.,,
r034,I am hungry. I want a sandwich.,hungry want sandwich,I want a sandwich.,,
r035,I am hungry. I want a sandwich.,hungry want sandwich,I'm hungry and I want a sandwich.,,
r036,You did not answer my question.,answer question,I will answer the question.,,
r037,No. I don't want that plan.,want plan,I want to plan a trip.,,
r038,Your explanation was confusing.,explanation confusing,I don't understand why it's so confusing.,,
r039,"I don't quite understand the instructions, sorry.",understand instructions sorry,"I can understand the instructions, so I'm sorry.",,
r040,"I'm not sure I want that plan, sorry.",sure want plan sorry,"Sure, I want to plan a surprise for you, but I'm sorry if I got your name wrong.",,
r041,"That joke wasn't really that funny, maybe just me.",joke funny,That one's a joke and it's funny!,,
r042,My stomach hurts.,stomach hurts,I have a stomach that hurts.,,
r043,The bus leaves at 8:15 and takes 40 minutes.,bus leaves 8:15 takes,The bus leaves at 8:15 and takes me to work.,,
r044,Your explanation was confusing.,explanation confusing,This explanation is confusing.,,
r045,I don't want to go to the party.,want go party,I want to go to the party.,,
r046,"I'd maybe like to go home now, if that's okay.",like go okay,I'll go okay.,,
r047,"I think the invoice is $450, due in 30 days.",think invoice 450 due,The invoice is due for $450.,,
r048,The dose is 500mg twice daily with food.,dose 500 mg food,I took a dose of 500 mg of my food.,,
r049,"That joke wasn't really that funny, maybe just me.",joke funny,That joke was really funny.,,
r050,"My hands are shaking a bit, I think.",hands shaking bit think,"My hands are shaking a bit, I think.",,
r051,I think the medication is two pills every eight hours.,think medication two pills,I need to take two pills.,,
r052,I disagree with your decision.,disagree decision,I strongly disagree with that decision.,,
r053,I need a ride at 6pm.,need ride 6 pm,I need a ride at 6 pm.,,
r054,"I'm not sure that plan works, the budget seems too small.",sure plan works budget,"Sure, the plan works within our budget.",,
r055,"I don't think you answered my question, sorry.",think answered question sorry,"I think I answered the question, but I'm sorry.",,
r056,Stop talking. I need quiet to focus.,stop talking need quiet,"I need you to stop talking, please.",,
r057,"I'd maybe like to leave now, if that's okay.",like leave okay,I like to leave when you're okay with it.,,
