row_key,item_id,condition,model,sample_idx
r001,aut-028,autistic_style,qwen2.5:7b-instruct,0
r002,aut-029,autistic_style,qwen2.5:7b-instruct,1
r003,ctl-047,control_style,llama3.1:8b,1
r004,ctl-036,control_style,llama3.1:8b,2
r005,aut-004,autistic_style,qwen2.5:7b-instruct,1
r006,ctl-030,control_style,qwen2.5:7b-instruct,1
r007,aut-022,autistic_style,qwen2.5:7b-instruct,0
r008,ctl-012,control_style,llama3.1:8b,1
r009,aut-029,autistic_style,llama3.1:8b,1
r010,aut-024,autistic_style,qwen2.5:7b-instruct,2
r011,ctl-035,control_style,llama3.1:8b,0
r012,aut-013,autistic_style,llama3.1:8b,2
r013,aut-036,autistic_style,llama3.1:8b,2
r014,ctl-048,control_style,llama3.1:8b,0
r015,aut-025,autistic_style,qwen2.5:7b-instruct,2
r016,aut-042,autistic_style,qwen2.5:7b-instruct,0
r017,ctl-045,control_style,llama3.1:8b,0
r018,ctl-049,control_style,llama3.1:8b,2
r019,aut-047,autistic_style,qwen2.5:7b-instruct,2
r020,aut-019,autistic_style,llama3.1:8b,0
r021,ctl-003,control_style,qwen2.5:7b-instruct,0
r022,aut-037,autistic_style,qwen2.5:7b-instruct,0
r023,ctl-037,control_style,qwen2.5:7b-instruct,0
r024,aut-032,autistic_style,qwen2.5:7b-instruct,0
r025,aut-027,autistic_style,qwen2.5:7b-instruct,1
r026,aut-039,autistic_style,llama3.1:8b,2
r027,aut-019,autistic_style,qwen2.5:7b-instruct,2
r028,ctl-040,control_style,qwen2.5:7b-instruct,0
r029,ctl-033,control_style,qwen2.5:7b-instruct,1
r030,ctl-029,control_style,llama3.1:8b,0
r031,ctl-002,control_style,qwen2.5:7b-instruct,1
r032,aut-023,autistic_style,llama3.1:8b,1
r033,ctl-015,control_style,qwen2.5:7b-instruct,2
r034,aut-007,autistic_style,qwen2.5:7b-instruct,1
r035,aut-007,autistic_style,llama3.1:8b,2
r036,aut-023,autistic_style,qwen2.5:7b-instruct,1
r037,aut-012,autistic_style,qwen2.5:7b-instruct,0
r038,aut-015,autistic_style,llama3.1:8b,2
r039,ctl-041,control_style,llama3.1:8b,2
r040,ctl-012,control_style,qwen2.5:7b-instruct,2
r041,ctl-034,control_style,qwen2.5:7b-instruct,0
r042,aut-011,autistic_style,qwen2.5:7b-instruct,2
r043,aut-009,autistic_style,llama3.1:8b,2
r044,aut-015,autistic_style,qwen2.5:7b-instruct,1
r045,aut-003,autistic_style,llama3.1:8b,1
r046,ctl-050,control_style,llama3.1:8b,0
r047,ctl-040,control_style,llama3.1:8b,2
r048,aut-043,autistic_style,qwen2.5:7b-instruct,0
r049,ctl-034,control_style,llama3.1:8b,2
r050,ctl-028,control_style,llama3.1:8b,1
r051,ctl-017,control_style,llama3.1:8b,1
r052,aut-027,autistic_style,llama3.1:8b,2
r053,aut-045,autistic_style,qwen2.5:7b-instruct,2
r054,ctl-008,control_style,qwen2.5:7b-instruct,1
r055,ctl-023,control_style,llama3.1:8b,1
r056,aut-006,autistic_style,llama3.1:8b,2
r057,ctl-016,control_style,qwen2.5:7b-instruct,2
r058,ctl-019,control_style,qwen2.5:7b-instruct,2
r059,ctl-023,control_style,qwen2.5:7b-instruct,2
r060,aut-035,autistic_style,llama3.1:8b,1
r061,aut-044,autistic_style,llama3.1:8b,2
r062,aut-018,autistic_style,llama3.1:8b,2
r063,ctl-008,control_style,llama3.1:8b,0
r064,ctl-032,control_style,qwen2.5:7b-instruct,1
r065,aut-041,autistic_style,llama3.1:8b,1
r066,ctl-044,control_style,qwen2.5:7b-instruct,1
r067,ctl-006,control_style,llama3.1:8b,1
r068,ctl-050,control_style,qwen2.5:7b-instruct,1
r069,aut-024,autistic_style,llama3.1:8b,2
r070,ctl-001,control_style,qwen2.5:7b-instruct,1
r071,aut-009,autistic_style,qwen2.5:7b-instruct,2
r072,aut-035,autistic_style,qwen2.5:7b-instruct,2
r073,aut-002,autistic_style,llama3.1:8b,1
r074,ctl-031,control_style,qwen2.5:7b-instruct,0
r075,aut-014,autistic_style,qwen2.5:7b-instruct,2
r076,aut-006,autistic_style,qwen2.5:7b-instruct,2
r077,aut-004,autistic_style,llama3.1:8b,1
r078,ctl-039,control_style,llama3.1:8b,1
r079,ctl-044,control_style,llama3.1:8b,2
r080,aut-030,autistic_style,qwen2.5:7b-instruct,2
r081,aut-037,autistic_style,llama3.1:8b,2
r082,ctl-032,control_style,llama3.1:8b,0
r083,ctl-046,control_style,qwen2.5:7b-instruct,0
r084,ctl-004,control_style,llama3.1:8b,0
r085,ctl-010,control_style,qwen2.5:7b-instruct,1
r086,aut-038,autistic_style,llama3.1:8b,2
r087,ctl-021,control_style,llama3.1:8b,1
r088,ctl-013,control_style,llama3.1:8b,0
r089,ctl-043,control_style,qwen2.5:7b-instruct,1
r090,ctl-028,control_style,qwen2.5:7b-instruct,1
r091,aut-025,autistic_style,llama3.1:8b,2
r092,ctl-001,control_style,llama3.1:8b,0
r093,ctl-026,control_style,qwen2.5:7b-instruct,1
r094,aut-022,autistic_style,llama3.1:8b,0
r095,aut-032,autistic_style,llama3.1:8b,1
r096,ctl-014,control_style,qwen2.5:7b-instruct,2
