row_key,item_id,model,sample_idx,condition
s01,ctl-032,llama3.1:8b,0,control_style
s02,ctl-010,qwen2.5:7b-instruct,1,control_style
s03,aut-015,qwen2.5:7b-instruct,1,autistic_style
s04,aut-019,qwen2.5:7b-instruct,2,autistic_style
s05,ctl-013,llama3.1:8b,0,control_style
s06,ctl-006,llama3.1:8b,1,control_style
s07,aut-024,llama3.1:8b,2,autistic_style
s08,aut-041,llama3.1:8b,1,autistic_style
s09,ctl-040,qwen2.5:7b-instruct,0,control_style
s10,aut-022,qwen2.5:7b-instruct,0,autistic_style
s11,aut-042,qwen2.5:7b-instruct,0,autistic_style
s12,aut-022,llama3.1:8b,0,autistic_style
s13,aut-029,qwen2.5:7b-instruct,1,autistic_style
s14,aut-013,llama3.1:8b,2,autistic_style
s15,ctl-041,llama3.1:8b,2,control_style
s16,ctl-001,llama3.1:8b,0,control_style
s17,aut-007,llama3.1:8b,2,autistic_style
s18,ctl-026,qwen2.5:7b-instruct,1,control_style
s19,ctl-023,qwen2.5:7b-instruct,2,control_style
